Title,Year,Certificate,Length,Genre,Rating
Toy Story,1995,G,81,"Animation, Adventure, Comedy            ",8.3
Jurassic Park,1993,PG-13,127,"Action, Adventure, Sci-Fi            ",8.2
No Country for Old Men,2007,R,122,"Crime, Drama, Thriller            ",8.2
A Beautiful Mind,2001,PG-13,135,"Biography, Drama            ",8.2
The Shining,1980,R,146,"Drama, Horror            ",8.4
300,2006,R,117,"Action, Drama            ",7.6
Good Will Hunting,1997,R,126,"Drama, Romance            ",8.3
Snatch,2000,R,102,"Comedy, Crime            ",8.2
The Terminator,1984,R,107,"Action, Sci-Fi            ",8.1
Die Hard,1988,R,132,"Action, Thriller            ",8.2
"Monsters, Inc.",2001,G,92,"Animation, Adventure, Comedy            ",8.1
The Hangover,2009,R,100,Comedy            ,7.7
Gravity,2013,PG-13,91,"Drama, Sci-Fi, Thriller            ",7.7
Donnie Darko,2001,R,113,"Drama, Mystery, Sci-Fi            ",8.0
Requiem for a Dream,2000,R,102,Drama            ,8.3
Gone Girl,2014,R,149,"Drama, Mystery, Thriller            ",8.1
Alien,1979,R,117,"Horror, Sci-Fi            ",8.5
Star Wars: Episode VII - The Force Awakens,2015,PG-13,138,"Action, Adventure, Sci-Fi            ",7.8
Gran Torino,2008,R,116,Drama            ,8.1
A Clockwork Orange,1971,R,136,"Crime, Sci-Fi            ",8.3
Iron Man Three,2013,PG-13,130,"Action, Adventure, Sci-Fi            ",7.1
Black Swan,2010,R,108,"Drama, Thriller            ",8.0
Mad Max: Fury Road,2015,R,120,"Action, Adventure, Sci-Fi            ",8.1
Man of Steel,2013,PG-13,143,"Action, Adventure, Sci-Fi            ",7.1
Spider-Man,2002,PG-13,121,"Action, Adventure, Sci-Fi            ",7.4
Toy Story 3,2010,G,103,"Animation, Adventure, Comedy            ",8.3
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,130,"Adventure, Family, Fantasy            ",8.1
Scarface,1983,18+,170,"Crime, Drama            ",8.3
The Big Lebowski,1998,R,117,"Comedy, Crime            ",8.1
Thor,2011,PG-13,115,"Action, Fantasy            ",7.0
Star Wars: Episode I - The Phantom Menace,1999,PG,136,"Action, Adventure, Fantasy            ",6.5
Amélie,2001,R,122,"Comedy, Romance            ",8.3
Silver Linings Playbook,2012,R,122,"Comedy, Drama, Romance            ",7.7
City of God,2002,R,130,"Crime, Drama            ",8.6
District 9,2009,R,112,"Action, Sci-Fi, Thriller            ",7.9
I Am Legend,2007,PG-13,101,"Action, Drama, Horror            ",7.2
Catch Me If You Can,2002,PG-13,141,"Biography, Crime, Drama            ",8.1
Skyfall,2012,PG-13,143,"Action, Adventure, Thriller            ",7.8
Pirates of the Caribbean: Dead Mans Chest,2006,PG-13,151,"Action, Adventure, Fantasy            ",7.4
Iron Man 2,2010,PG-13,124,"Action, Sci-Fi            ",6.9
Star Wars: Episode III - Revenge of the Sith,2005,PG-13,140,"Action, Adventure, Fantasy            ",7.6
X: First Class,2011,PG-13,131,"Action, Sci-Fi            ",7.7
Indiana Jones and the Last Crusade,1989,PG-13,127,"Action, Adventure            ",8.2
Transformers,2007,PG-13,144,"Action, Adventure, Sci-Fi            ",7.0
X-Men: Days of Future Past,2014,PG-13,132,"Action, Adventure, Sci-Fi            ",7.9
Kill Bill: Vol. 2,2004,R,137,"Action, Crime, Thriller            ",8.0
Captain America: The First Avenger,2011,PG-13,124,"Action, Adventure, Sci-Fi            ",6.9
Taxi Driver,1976,R,114,"Crime, Drama            ",8.2
Star Trek,2009,PG-13,127,"Action, Adventure, Sci-Fi            ",7.9
The Kings Speech,2010,R,118,"Biography, Drama, History            ",8.0
"The Good, the Bad and the Ugly",1966,Approved,178,"Adventure, Western            ",8.8
The Intouchables,2011,R,112,"Biography, Comedy, Drama            ",8.5
The Hunger Games: Catching Fire,2013,PG-13,146,"Action, Adventure, Sci-Fi            ",7.5
The Pianist,2002,R,150,"Biography, Drama, Music            ",8.5
Captain America: The Winter Soldier,2014,PG-13,136,"Action, Adventure, Sci-Fi            ",7.8
The Bourne Ultimatum,2007,PG-13,115,"Action, Mystery, Thriller            ",8.0
Aliens,1986,R,137,"Action, Adventure, Sci-Fi            ",8.4
How to Train Your Dragon,2010,PG,98,"Animation, Action, Adventure            ",8.1
Full Metal Jacket,1987,R,116,"Drama, War            ",8.3
Taken,2008,PG-13,90,"Action, Crime, Thriller            ",7.8
The Hobbit: The Desolation of Smaug,2013,PG-13,161,"Adventure, Drama, Fantasy            ",7.8
Million Dollar Baby,2004,PG-13,132,"Drama, Sport            ",8.1
The Social Network,2010,PG-13,120,"Biography, Drama            ",7.8
The Incredibles,2004,PG,115,"Animation, Action, Adventure            ",8.0
Sherlock Holmes,2009,PG-13,128,"Action, Adventure, Mystery            ",7.6
The Grand Budapest Hotel,2014,R,99,"Adventure, Comedy, Crime            ",8.1
Ratatouille,2007,G,111,"Animation, Adventure, Comedy            ",8.1
Ted,2012,R,106,Comedy            ,6.9
Pirates of the Caribbean: At Worlds End,2007,PG-13,169,"Action, Adventure, Fantasy            ",7.1
Casino Royale,2006,PG-13,144,"Action, Adventure, Thriller            ",8.0
Deadpool,2016,R,108,"Action, Comedy            ",8.0
Trainspotting,1996,R,93,Drama            ,8.1
The Martian,2015,PG-13,144,"Adventure, Drama, Sci-Fi            ",8.0
Pans Labyrinth,2006,R,118,"Drama, Fantasy, War            ",8.2
Shrek,2001,PG,90,"Animation, Adventure, Comedy            ",7.9
The Imitation Game,2014,PG-13,114,"Biography, Drama, Thriller            ",8.0
World War Z,2013,PG-13,116,"Action, Adventure, Horror            ",7.0
Star Wars: Episode II - Attack of the Clones,2002,PG,142,"Action, Adventure, Fantasy            ",6.6
12 Monkeys,1995,R,129,"Mystery, Sci-Fi, Thriller            ",8.0
Blade Runner,1982,R,117,"Action, Drama, Sci-Fi            ",8.1
Avengers: Age of Ultron,2015,PG-13,141,"Action, Adventure, Sci-Fi            ",7.3
The Curious Case of Benjamin Button,2008,PG-13,166,"Drama, Fantasy, Romance            ",7.8
Prometheus,2012,R,124,"Adventure, Mystery, Sci-Fi            ",7.0
Fargo,1996,R,98,"Crime, Thriller            ",8.1
X-Men,2000,PG-13,104,"Action, Adventure, Sci-Fi            ",7.3
Argo,2012,R,120,"Biography, Drama, Thriller            ",7.7
The Amazing Spider-Man,2012,PG-13,136,"Action, Adventure, Sci-Fi            ",6.9
Apocalypse Now,1979,R,147,"Drama, Mystery, War            ",8.4
12 Angry Men,1957,Approved,96,"Crime, Drama            ",9.0
Now You See Me,2013,PG-13,115,"Crime, Mystery, Thriller            ",7.2
Harry Potter and the Sorcerers Stone,2001,PG,152,"Adventure, Family, Fantasy            ",7.6
Life of Pi,2012,PG,127,"Adventure, Drama, Fantasy            ",7.9
12 Years a Slave,2013,R,134,"Biography, Drama, History            ",8.1
Groundhog Day,1993,PG,101,"Comedy, Drama, Fantasy            ",8.0
Kick-Ass,2010,R,117,"Action, Comedy, Crime            ",7.6
Drive,2011,R,100,"Action, Drama            ",7.8
Heat,1995,R,170,"Action, Crime, Drama            ",8.3
Edge of Tomorrow,2014,PG-13,113,"Action, Adventure, Sci-Fi            ",7.9
Independence Day,1996,PG-13,145,"Action, Adventure, Sci-Fi            ",7.0
Looper,2012,R,119,"Action, Drama, Sci-Fi            ",7.4
2001: A Space Odyssey,1968,G,149,"Adventure, Sci-Fi            ",8.3
Into the Wild,2007,R,148,"Adventure, Biography, Drama            ",8.1
Superbad,2007,R,113,Comedy            ,7.6
Psycho,1960,R,109,"Horror, Mystery, Thriller            ",8.5
The Matrix Reloaded,2003,R,138,"Action, Sci-Fi            ",7.2
Frozen,2013,PG,102,"Animation, Adventure, Comedy            ",7.4
Life Is Beautiful,1997,PG-13,116,"Comedy, Drama, Romance            ",8.6
Limitless,2011,PG-13,105,"Sci-Fi, Thriller            ",7.4
Jurassic World,2015,PG-13,124,"Action, Adventure, Sci-Fi            ",6.9
Spirited Away,2001,PG,125,"Animation, Adventure, Family            ",8.6
"Lock, Stock and Two Smoking Barrels",1998,R,107,"Action, Comedy, Crime            ",8.1
Juno,2007,PG-13,96,"Comedy, Drama            ",7.5
L.A. Confidential,1997,R,138,"Crime, Drama, Mystery            ",8.2
Thor: The Dark World,2013,PG-13,112,"Action, Adventure, Fantasy            ",6.8
Jaws,1975,PG,124,"Adventure, Mystery, Thriller            ",8.1
Spider-Man 2,2004,PG-13,127,"Action, Adventure, Sci-Fi            ",7.5
21 Jump Street,2012,R,109,"Action, Comedy, Crime            ",7.2
X2,2003,PG-13,134,"Action, Sci-Fi, Thriller            ",7.4
The Bourne Identity,2002,PG-13,119,"Action, Mystery, Thriller            ",7.8
Rise of the Planet of the Apes,2011,PG-13,105,"Action, Drama, Sci-Fi            ",7.6
Men in Black,1997,PG-13,98,"Action, Adventure, Comedy            ",7.3
Oceans Eleven,2001,PG-13,116,"Crime, Thriller            ",7.7
The Revenant,2015,R,156,"Action, Adventure, Drama            ",8.0
Blood Diamond,2006,R,143,"Adventure, Drama, Thriller            ",8.0
Minority Report,2002,PG-13,145,"Action, Crime, Mystery            ",7.6
